"Date","Average_Lat","Average_Lon","Trips"
2014-04-01,40.7407182768342,-73.9765771986523,14543
2014-04-02,40.7420026790314,-73.977901934856,17469
2014-04-03,40.7416512731314,-73.97933980287,20697
2014-04-04,40.7414859662261,-73.9794833451904,26707
2014-04-05,40.7363766687173,-73.9780956679996,19506
2014-04-06,40.7328966679091,-73.9712448527767,13415
2014-04-07,40.7417512712948,-73.9764501509183,19547
2014-04-08,40.7421384976526,-73.976912552508,16188
2014-04-09,40.7424248025183,-73.9768114509711,16837
2014-04-10,40.7417325898204,-73.9764336027944,20040
2014-04-11,40.7404777859417,-73.9778887876561,20415
2014-04-12,40.7357723467533,-73.9786406840337,18157
2014-04-13,40.7340578977837,-73.972485957658,12092
2014-04-14,40.7403083017677,-73.9714461095328,12672
2014-04-15,40.7417943165851,-73.9784571684675,20639
2014-04-16,40.7418978603286,-73.9768337774516,17713
2014-04-17,40.7411415891639,-73.9784431010636,20967
2014-04-18,40.7380339737556,-73.9788235202923,18061
2014-04-19,40.7351680419437,-73.978581769584,14591
2014-04-20,40.7334036606413,-73.969567199564,11009
2014-04-21,40.7384910037231,-73.9705436592964,13161
2014-04-22,40.7416852816404,-73.976547436955,16972
2014-04-23,40.7411724841453,-73.9773137800501,20341
2014-04-24,40.7421372082066,-73.9769632158307,23347
2014-04-25,40.7407308860457,-73.9777446052055,25089
2014-04-26,40.7371640215252,-73.9783710975463,24901
2014-04-27,40.7330232077018,-73.9698433702035,14646
2014-04-28,40.7402087923455,-73.9720470002586,15468
2014-04-29,40.7426202934735,-73.9781542356548,22830
2014-04-30,40.7437589090608,-73.9795336910937,36244
2014-05-01,40.7410246716016,-73.975147195242,23371
2014-05-02,40.7399886026832,-73.9756416635707,24225
2014-05-03,40.7364538589622,-73.9769614148778,22221
2014-05-04,40.7336124982012,-73.9662779248813,13898
2014-05-05,40.7412740968916,-73.9734194455335,17855
2014-05-06,40.7425329567831,-73.9764542180537,19298
2014-05-07,40.7421399579582,-73.9766631403373,21883
2014-05-08,40.7436806180694,-73.9762332557717,27505
2014-05-09,40.7422095613603,-73.9761014103196,26377
2014-05-10,40.7377657551274,-73.9757919825979,22526
2014-05-11,40.7348536372193,-73.9686678028775,14874
2014-05-12,40.7410580122517,-73.9711879086277,17467
2014-05-13,40.7429621646576,-73.9755146242626,19495
2014-05-14,40.7423548962226,-73.976121174193,22211
2014-05-15,40.7429873550105,-73.9753215592318,26295
2014-05-16,40.7425211741526,-73.977686309762,32483
2014-05-17,40.7362654818006,-73.9755142228805,22281
2014-05-18,40.7343194683821,-73.9702945017599,16478
2014-05-19,40.740524220414,-73.9725864726121,18311
2014-05-20,40.7426264780628,-73.9765288851594,20855
2014-05-21,40.7426551097685,-73.9773744298843,23504
2014-05-22,40.7423640658234,-73.9759307511474,26799
2014-05-23,40.7393590783654,-73.9771372660946,26453
2014-05-24,40.7356446235825,-73.9746519674819,14638
2014-05-25,40.7323054735093,-73.9727880007384,10834
2014-05-26,40.7289118610811,-73.9598172765623,10193
2014-05-27,40.7398925289723,-73.9703704570857,16999
2014-05-28,40.7420970498291,-73.9757759803922,22236
2014-05-29,40.7417356498014,-73.9775188741323,24923
2014-05-30,40.7408168640629,-73.9773929675013,24401
2014-05-31,40.7357833246998,-73.9768462867907,21235
2014-06-01,40.7324140805319,-73.9668047415956,15944
2014-06-02,40.7409303463253,-73.970622808321,17498
2014-06-03,40.743291494618,-73.9768914549144,22668
2014-06-04,40.7420197284275,-73.9763038983793,22830
2014-06-05,40.7424821998942,-73.9768467759563,28365
2014-06-06,40.7409058756787,-73.9756856755004,24678
2014-06-07,40.7371440471626,-73.9707355109279,20864
2014-06-08,40.735464200356,-73.9667486969235,15732
2014-06-09,40.7420002366406,-73.9734467085449,23242
2014-06-10,40.7424295663198,-73.9760275465594,22874
2014-06-11,40.7427770786342,-73.9772538150424,25714
